Title,Author,Year,Ratings,Reviews,Cover_type,Price($)
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,2010-01-01,4.6,25134,Hardcover,12.99
The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),Stieg Larsson,2010-01-01,4.5,31491,Paperback,10.07
Decision Points,George W. Bush,2010-01-01,4.6,2768,Hardcover,13.99
The Help,Kathryn Stockett,2010-01-01,4.7,33007,Hardcover,15.0
The Girl Who Played with Fire: A Lisbeth Salander Novel (The Girl with the Dragon Tattoo Series),Stieg Larsson,2010-01-01,4.6,25388,Paperback,9.99
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,2010-01-01,4.7,19377,Hardcover,10.99
StrengthsFinder 2.0,Gallup,2010-01-01,4.1,8179,Hardcover,20.96
Mockingjay (The Hunger Games),Suzanne Collins,2010-01-01,4.6,79851,Hardcover,11.44
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,2010-01-01,4.4,2651,Hardcover,11.81
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2010-01-01,4.5,12971,Paperback,15.38
"Autobiography of Mark Twain, Vol. 1",Mark Twain,2010-01-01,4.4,636,Hardcover,18.17
The Big Short: Inside the Doomsday Machine,Michael Lewis,2010-01-01,4.6,15986,Hardcover,15.66
Food Rules: An Eater's Manual,Michael Pollan,2010-01-01,4.4,4539,Paperback,13.49
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2010-01-01,4.7,75431,Hardcover,15.68
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,2010-01-01,4.5,5206,Hardcover,11.98
Sh*t My Dad Says,Justin Halpern,2010-01-01,4.5,11624,Hardcover,14.16
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,2010-01-01,4.7,2262,Paperback,17.16
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,2010-01-01,4.7,6998,Hardcover,14.99
Life,Keith Richards,2010-01-01,4.5,7270,Hardcover,1.71
Cutting for Stone,Abraham Verghese,2010-01-01,4.6,14710,Paperback,14.1
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,2010-01-01,4.5,594,Hardcover,11.28
The Official SAT Study Guide,The College Board,2010-01-01,4.4,1558,Paperback,1.87
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,2010-01-01,4.5,1934,Hardcover,12.0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,2010-01-01,4.6,27816,Hardcover,15.7
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,2010-01-01,4.7,24835,Hardcover,13.23
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,2010-01-01,4.5,884,Paperback,17.45
Outliers: The Story of Success,Malcolm Gladwell,2010-01-01,4.6,35961,Hardcover,15.69
Catching Fire (The Hunger Games),Suzanne Collins,2010-01-01,4.7,64888,Hardcover,11.64
"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,2010-01-01,4.6,12414,Hardcover,20.14
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,2010-01-01,4.5,8445,Hardcover,15.5
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,2010-01-01,4.3,4229,Paperback,12.2
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,2010-01-01,4.7,2818,Paperback,14.34
The Confession: A Novel,John Grisham,2010-01-01,4.4,17935,Hardcover,19.45
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,2010-01-01,4.6,5707,Hardcover,15.0
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,2010-01-01,4.7,635,Paperback,2.34
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,2010-01-01,4.8,29564,Hardcover,10.32
Switch: How to Change Things When Change Is Hard,Chip Heath,2010-01-01,4.6,5549,Hardcover,10.49
The Art of Racing in the Rain: A Novel,Garth Stein,2010-01-01,4.6,31722,Paperback,10.78
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,2010-01-01,4.7,4964,Paperback,22.76
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,2010-01-01,4.4,527,Hardcover,9.75
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,2010-01-01,4.5,8299,Hardcover,15.49
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,2010-01-01,4.7,9719,Hardcover,14.35
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,2010-01-01,4.7,2085,Paperback,36.3
Little Bee: A Novel,Chris Cleave,2010-01-01,4.2,3654,Paperback,8.2
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,2010-01-01,4.7,1525,Hardcover,18.29
George Washington's Sacred Fire,Peter A. Lillback,2010-01-01,4.6,645,Paperback,3.0
Radical: Taking Back Your Faith from the American Dream,David Platt,2010-01-01,4.7,3271,Paperback,9.36
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,2010-01-01,4.8,14257,Hardcover,21.99
Sarah's Key,Tatiana de Rosnay,2010-01-01,4.5,11119,Paperback,10.25
The Hunger Games,Suzanne Collins,2010-01-01,4.7,80788,Hardcover,12.79
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2010-01-01,4.6,1762,Paperback,24.99
Cleopatra: A Life,Stacy Schiff,2010-01-01,4.2,2278,Hardcover,11.42
Freedom: A Novel,Jonathan Franzen,2010-01-01,4.2,5794,Hardcover,17.0
Freedom,Jonathan Franzen,2010-01-01,4.2,5794,Hardcover,13.69
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,2010-01-01,4.7,23862,Hardcover,19.79
Fall of Giants (The Century Trilogy),Ken Follett,2010-01-01,4.4,50689,Hardcover,23.74
"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,2010-01-01,4.4,15220,Paperback,15.99
"Eat Pray Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,2010-01-01,4.4,15220,Paperback,13.31
Tao I: The Way of All Life,Zhi Gang Sha Dr.,2010-01-01,4.4,96,Hardcover,14.8
The Checklist Manifesto: How to Get Things Right,Atul Gawande,2010-01-01,4.5,13086,Hardcover,29.53
Chelsea Chelsea Bang Bang,Chelsea Handler,2010-01-01,4.4,1526,Hardcover,9.95
Let the Great World Spin: A Novel,Colum McCann,2010-01-01,4.3,3645,Paperback,9.99
The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,Ree Drummond,2010-01-01,4.8,5748,Hardcover,14.39
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,2010-01-01,4.4,8357,Paperback,14.99
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,2010-01-01,4.6,5203,Paperback,10.59
The Belly Fat Cure: Discover the New Carb Swap System™ and Lose 4 to 9 lbs. Every Week,Jorge Cruise,2010-01-01,4.1,1120,Spiral-bound,19.0
"The Battle of the Labyrinth (Percy Jackson and the Olympians, Book 4)",Rick Riordan,2010-01-01,4.8,28721,Paperback,7.99
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",Timothy Ferriss,2010-01-01,4.5,25790,Hardcover,13.79
"Full Dark, No Stars",Stephen King,2010-01-01,4.6,6256,Hardcover,21.5
Sizzling Sixteen (Stephanie Plum Novels),Janet Evanovich,2010-01-01,4.5,7454,Hardcover,1.5
The Grand Design,Stephen Hawking,2010-01-01,4.5,4121,Hardcover,16.2
The Overton Window ,Glenn Beck,2010-01-01,4.6,1431,Hardcover,14.5
"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",Sarah Young,2010-01-01,4.9,43004,Hardcover,8.89
Spoken from the Heart,Laura Bush,2010-01-01,4.5,836,Hardcover,12.14
Diary of a Wimpy Kid Do-it-yourself Book,Jeff Kinney,2010-01-01,4.8,10195,Hardcover,14.72
The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,Mark Nepo,2010-01-01,4.7,4473,Paperback,17.81
"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",Julia Child,2010-01-01,4.8,8220,Hardcover,25.99
Safe Haven,Nicholas Sparks,2010-01-01,4.6,15271,Hardcover,13.69
"Change Your Brain, Change Your Body: Use Your Brain to Get and Keep the Body You Have Always Wanted",Daniel G. Amen,2010-01-01,4.4,947,Hardcover,14.57
"The Kind Diet: A Simple Guide to Feeling Great, Losing Weight, and Saving the Planet",Alicia Silverstone,2010-01-01,4.5,1690,Hardcover,19.19
Decoded,Jay-Z,2010-01-01,4.7,1794,Hardcover,33.57
The Glass Castle: A Memoir (book),Jeannette Walls,2010-01-01,4.6,39288,Paperback,9.68
The Shack: Where Tragedy Confronts Eternity,William P. Young,2010-01-01,4.6,41129,Paperback,10.14
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,2010-01-01,4.7,25424,Hardcover,19.55
Sookie Stackhouse 8-copy Boxed Set (Sookie Stackhouse / Southern Vampire),Charlaine Harris,2010-01-01,4.7,1630,Mass Market Paperback,70.5
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,2010-01-01,4.6,37106,Paperback,10.32
Hotel on the Corner of Bitter and Sweet,Jamie Ford,2010-01-01,4.5,14007,Paperback,11.99
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,2010-01-01,4.4,8291,Hardcover,27.0
Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,2010-01-01,4.5,792,Paperback,20.99
"Happy Ever After (Bride Quartet, Book 4)",Nora Roberts,2010-01-01,4.7,3720,Paperback,13.12
A Guide to the Project Management Body of Knowledge,Project Management Institute,2010-01-01,4.4,755,Paperback,13.0
The Book Thief,Markus Zusak,2010-01-01,4.6,67269,Paperback,7.83
The Catcher in the Rye,J. D. Salinger,2010-01-01,4.4,37763,Paperback,12.78
"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",Thomas Campbell,2010-01-01,4.7,6462,Paperback,0.75
American Assassin: A Thriller (A Mitch Rapp Novel),Vince Flynn,2010-01-01,4.5,18385,Hardcover,26.76
Rework,Jason Fried,2010-01-01,4.5,10351,Hardcover,12.49
In Defense of Food: An Eater's Manifesto,Michael Pollan,2010-01-01,4.6,4023,Paperback,13.24
Squirrel Seeks Chipmunk: A Modest Bestiary,David Sedaris,2010-01-01,4.2,1191,Hardcover,18.74
Who Moved My Cheese,Spencer Johnson,2010-01-01,4.6,24704,Hardcover,12.99
Steve Jobs,Walter Isaacson,2011-01-01,4.7,23436,Hardcover,18.29
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,2011-01-01,4.6,24987,Paperback,10.49
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,2011-01-01,4.7,20981,Hardcover,11.88
StrengthsFinder 2.0,Gallup,2011-01-01,4.1,8179,Hardcover,20.96
The Hunger Games (Book 1),Suzanne Collins,2011-01-01,4.7,80788,Paperback,7.19
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2011-01-01,4.7,75431,Hardcover,15.68
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,2011-01-01,4.7,17195,Hardcover,15.72
Go the F**k to Sleep,Adam Mansbach,2011-01-01,4.8,22520,Hardcover,13.38
Mockingjay (The Hunger Games),Suzanne Collins,2011-01-01,4.6,79851,Hardcover,11.44
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,2011-01-01,4.7,8392,Mass Market Paperback,8.51
Catching Fire (The Hunger Games),Suzanne Collins,2011-01-01,4.7,64888,Hardcover,11.64
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,2011-01-01,4.3,3215,Hardcover,18.98
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,2011-01-01,4.6,47713,Hardcover,19.0
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,2011-01-01,4.8,25812,Hardcover,11.39
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,2011-01-01,4.6,15073,Hardcover,13.99
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2011-01-01,4.5,12971,Paperback,15.38
The Help,Kathryn Stockett,2011-01-01,4.7,33007,Paperback,9.1
The Immortal Life of Henrietta Lacks,Rebecca Skloot,2011-01-01,4.6,27816,Paperback,13.09
11/22/63: A Novel,Stephen King,2011-01-01,4.8,3342,Hardcover,19.09
The Official SAT Study Guide,The College Board,2011-01-01,4.4,1558,Paperback,1.87
"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",Sarah Young,2011-01-01,4.9,43004,Hardcover,8.89
The Hunger Games Trilogy Boxed Set,Suzanne Collins,2011-01-01,4.8,47121,Hardcover,38.6
Cutting for Stone,Abraham Verghese,2011-01-01,4.6,14710,Paperback,14.1
Tina Fey: Bossypants,Tina Fey,2011-01-01,4.3,20153,Hardcover,9.64
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,2011-01-01,4.4,8291,Hardcover,27.0
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,2011-01-01,4.3,14869,Hardcover,15.81
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,2011-01-01,4.7,4964,Paperback,22.76
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,2011-01-01,4.7,2262,Paperback,17.16
A Stolen Life: A Memoir,Jaycee Dugard,2011-01-01,4.6,10746,Hardcover,20.99
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,2011-01-01,4.6,25134,Hardcover,12.99
