,Rank,Title,Author,Year,Ratings,Reviews,Cover_type,Price($)
475,80,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,2013,4.7,"24,230",Paperback,10.59
476,81,The Immortal Life of Henrietta Lacks,Rebecca Skloot,2013,4.6,"27,816",Paperback,13.09
477,82,Night (Night),Elie Wiesel,2013,4.7,"20,176",Paperback,6.27
478,83,Fifty Shades Darker,E L James,2013,4.5,"75,918",Paperback,10.41
479,84,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",,2013,4.5,Joel Fuhrman MD,Paperback,12.99
480,85,"Forks Over Knives―The Cookbook. A New York Times Bestseller: Over 300 Simple and Delicious Plant-Based Recipes to Help You Lose Weight, Be Healthier, and Feel Better Every Day",Del Sroufe,2013,4.5,"13,679",Paperback,10.99
481,86,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)",E L James,2013,4.5,"61,910",Paperback,11.80
482,87,The Alchemist,Paulo Coelho,2013,4.7,"3,977",Paperback,18.62
483,88,The Catcher in the Rye,J.D. Salinger,2013,4.4,"37,763",Mass Market Paperback,8.93
484,89,Mindset: The New Psychology of Success,,2013,4.6,Carol S. S. Dweck,Paperback,11.66
485,90,"Wheat Belly Cookbook: 150 Recipes to Help You Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,2013,4.4,"2,363",Hardcover,16.50
486,91,MyMathLab: Student Access Kit,,2013,4.2,Addison-Wesley Nivaldo J. Addison-Wesley,Printed Access Code,71.40
487,92,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",,2013,4.8,Valorie Schaefer,Paperback,7.93
488,93,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,2013,4.6,"37,122",Hardcover,15.61
489,94,The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,Naoki Higashida,2013,4.5,"11,486",Hardcover,12.56
490,95,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",Tom Rath,2013,4.5,"2,625",Hardcover,15.52
491,96,Kaplan GRE Premier 2014 with 6 Practice Tests: book + online + DVD + mobile,,2013,4.3,Kaplan,Paperback,11.60
492,97,The Longest Ride,Nicholas Sparks,2013,4.6,"30,303",Hardcover,15.52
493,98,Life Code: The New Rules for Winning in the Real World,,2013,4.4,Phil McGraw,Hardcover,12.94
494,99,The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,2013,4.5,"10,236",Hardcover,22.49
495,100,"A Memory of Light (Wheel of Time, Book 14) (Wheel of Time, 14)",Robert Jordan,2013,4.8,"26,092",Hardcover,20.99
496,1,StrengthsFinder 2.0,,2014,4.1,Gallup,Hardcover,20.96
497,2,Frozen (Little Golden Book),,2014,4.7,RH Disney,Hardcover,
498,3,Laugh-Out-Loud Jokes for Kids,Rob Elliott,2014,4.6,"11,767",Paperback,4.99
499,4,The Fault in Our Stars,John Green,2014,4.6,"160,020",Paperback,11.69
500,5,Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,2014,4.6,"29,809",Hardcover,10.97
501,6,Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,2014,4.5,"19,751",Hardcover,18.99
502,7,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,2014,4.6,"22,530",Hardcover,15.86
503,8,The Blood of Olympus (The Heroes of Olympus),Rick Riordan,2014,4.8,"41,898",Hardcover,11.48
504,9,"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",Sarah Young,2014,4.9,"43,004",Hardcover,8.89
505,10,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2014,4.7,"75,431",Paperback,12.49
506,11,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,,2014,4.6,DK,Paperback,5.90
507,12,The Day the Crayons Quit,Drew Daywalt,2014,4.8,"22,782",Hardcover,9.40
508,13,Divergent,Veronica Roth,2014,4.7,"17,844",Paperback,12.85
509,14,The Fault in Our Stars,John Green,2014,4.6,"160,020",Hardcover,10.80
510,15,"Oh, the Places You'll Go!  ",Dr. Seuss,2014,4.9,"48,035",Hardcover,7.49
511,16,To Kill a Mockingbird,Harper Lee,2014,4.7,"130,590",Mass Market Paperback,21.34
512,17,Gone Girl,Gillian Flynn,2014,4.1,"161,550",Paperback,12.90
513,18,The Book Thief,Markus Zusak,2014,4.6,"67,269",Paperback,7.83
514,19,The Official SAT Study Guide,,2014,4.4,The College Board,Paperback,
515,20,Humans of New York,Brandon Stanton,2014,4.8,"5,582",Hardcover,15.67
516,21,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,2014,4.1,"124,189",Hardcover,18.50
517,22,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,2014,4.7,"13,022",Paperback,
518,23,Wonder,R. J. Palacio,2014,4.7,"83,319",Hardcover,9.40
519,24,The Book with No Pictures,B. J. Novak,2014,4.8,"19,065",Hardcover,9.90
520,25,Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,2014,4.9,"5,471",Hardcover,10.99
521,26,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,2014,4.7,"4,964",Paperback,
522,27,Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),Rob Elliott,2014,4.5,"5,945",Paperback,4.99
523,28,JOURNEY TO THE ICE P,RH Disney,2014,4.6,"1,100",Paperback,7.11
524,29,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2014,4.5,"12,971",Paperback,15.38
525,30,Little Blue Truck,Alice Schertle,2014,4.9,"1,961",Board book,
526,31,Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,2014,4.6,"2,438",Hardcover,18.29
527,32,First 100 Words: A Padded Board Book,Roger Priddy,2014,4.7,"37,033",Board book,4.78
528,33,If I Stay,Gayle Forman,2014,4.3,"25,829",Paperback,8.77
529,34,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,2014,4.7,"51,205",Mass Market Paperback,34.39
530,35,Divergent / Insurgent,Veronica Roth,2014,4.5,"60,255",Hardcover,9.44
531,36,Capital in the Twenty First Century,Thomas Piketty,2014,4.5,"5,345",Hardcover,19.27
532,37,Orphan Train,Christina Baker Kline,2014,4.5,"78,920",Paperback,14.99
533,38,Mindset: The New Psychology of Success,,2014,4.6,Carol S. S. Dweck,Paperback,11.66
534,39,How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,2014,4.7,"111,894",Paperback,10.30
535,40,The Very Hungry Caterpillar,Eric Carle,2014,4.9,"59,834",Board book,5.57
536,41,All the Light We Cannot See,Anthony Doerr,2014,4.5,"215,225",Hardcover,15.15
537,42,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",,2014,4.5,David Perlmutter MD,Hardcover,13.95
538,43,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2014,4.7,"75,431",Hardcover,15.68
539,44,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),,2014,4.6,Thug Kitchen,Hardcover,22.99
540,45,The Alchemist,Paulo Coelho,2014,4.7,"3,977",Paperback,18.62
541,46,Looking for Alaska,John Green,2014,4.5,"31,761",Paperback,7.64
542,47,The Great Gatsby: The Only Authorized Edition,F. Scott Fitzgerald,2014,4.4,"15,470",Paperback,6.84
543,48,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,2014,4.6,"82,119",Paperback,16.99
544,49,Love You Forever,Robert Munsch,2014,4.9,"59,707",Paperback,4.98
545,50,The Maze Runner (Book 1),James Dashner,2014,4.4,"42,412",Paperback,8.46
546,51,Allegiant,Veronica Roth,2014,4.1,"66,896",Hardcover,11.72
547,52,Yes Please,Amy Poehler,2014,4.2,"20,537",Hardcover,14.52
548,53,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",,2014,4.6,Patrick Lencioni,Hardcover,20.14
549,54,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,2014,4.7,"107,961",Paperback,7.74
550,55,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2014,4.7,"9,405",Paperback,19.65
551,56,41: A Portrait of My Father,George W. Bush,2014,4.6,"5,029",Hardcover,11.00
552,57,Minecraft: The Complete Handbook Collection,Stephanie Milton,2014,4.8,"1,434",Hardcover,53.00
553,58,Frozen: A Tale of Two Sisters,Melissa Lagonegro,2014,4.4,"2,249",Paperback,5.99
554,59,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,2014,4.9,"10,201",Hardcover,11.36
555,60,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,2014,4.7,"40,372",Paperback,12.85
556,61,Divergent / Insurgent / Allegiant,Veronica Roth,2014,4.6,"4,662",Hardcover,58.68
557,62,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,2014,4.6,"24,987",Paperback,10.49
558,63,Flash Boys,Michael Lewis,2014,4.5,"17,846",Hardcover,16.45
559,64,Rush Revere and the American Revolution: Time-Travel Adventures With Exceptional Americans,Rush Limbaugh,2014,4.9,"4,885",Hardcover,11.63
560,65,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,2014,4.9,"28,326",Board book,5.00
561,66,The Going To Bed Book,Sandra Boynton,2014,4.8,"17,469",Board book,3.97
562,67,The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones,George R. R. Martin,2014,4.7,"10,483",Hardcover,29.49
563,68,The Real ACT Prep Guide,,2014,4.4,ACT,Paperback,53.90
564,69,Gray Mountain: A Novel,John Grisham,2014,4.0,"86,436",Hardcover,13.85
565,70,What to Expect When You're Expecting,Heidi Murkoff,2014,4.8,"32,912",Paperback,17.43
566,71,The Jesus Storybook Bible: Every Story Whispers His Name,Sally Lloyd-Jones,2014,4.9,"12,651",Hardcover,11.69
567,72,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,2014,4.5,"17,084",Hardcover,14.94
568,73,The Invention of Wings,Sue Monk Kidd,2014,4.5,"53,626",Hardcover,15.23
569,74,Lord of the Flies,William Golding,2014,4.5,"45,624",Mass Market Paperback,5.79
570,75,Night (Night),Elie Wiesel,2014,4.7,"20,176",Paperback,6.27
571,76,The Catcher in the Rye,J.D. Salinger,2014,4.4,"37,763",Mass Market Paperback,8.93
572,77,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual, Mental, Emotional, and Physical Bodies",Zhi Gang Sha,2014,4.6,289,Hardcover,14.00
573,78,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",,2014,4.8,Valorie Schaefer,Paperback,7.93
574,79,"The Skinnytaste Cookbook: Light on Calories, Big on Flavor",Gina Homolka,2014,4.7,"8,688",Hardcover,17.27
575,80,Fahrenheit 451,Ray Bradbury,2014,4.6,"48,410",Paperback,8.36
576,81,"Goodnight, Goodnight, Construction Site",Sherri Duskey Rinker,2014,4.9,"22,805",Hardcover,11.40
577,82,Paper Towns,John Green,2014,4.2,"35,557",Paperback,7.68
578,83,"The Everything Kids' Science Experiments Book: Boil Ice, Float Water, Measure Gravity-Challenge the World Around You!",Tom Robinson,2014,4.6,"6,473",Paperback,7.59
579,84,1984,George Orwell,2014,4.6,"110,330",Mass Market Paperback,7.48
580,85,The Outsiders,S. E. Hinton,2014,4.8,"36,161",Paperback,5.74
581,86,MONEY Master the Game: 7 Simple Steps to Financial Freedom (Tony Robbins Financial Freedom),Tony Robbins,2014,4.6,"13,493",Hardcover,17.29
582,87,Goodnight Moon,Margaret Wise Brown,2014,4.9,"27,618",Board book,5.36
583,88,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,2014,4.5,"32,115",Paperback,12.85
584,89,Revival: A Novel,Stephen King,2014,4.2,"30,145",Hardcover,13.80
585,90,Giraffes Can't Dance (Board Book),,2014,4.8,Giles Andreae,Board book,5.94
586,91,Minecraft: Redstone Handbook: An Official Mojang Book,,2014,4.7,Scholastic,Hardcover,15.92
587,92,Of Mice and Men,John Steinbeck,2014,4.6,"38,488",Mass Market Paperback,9.38
588,93,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,JJ Smith,2014,4.7,"37,683",Paperback,21.45
589,94,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition",Kerry Patterson,2014,4.6,"11,999",Paperback,16.99
590,95,A Day in the Sun (Disney Frozen) (Pictureback(R)),Frank Berrios,2014,4.6,738,Paperback,
591,96,The Giver (Giver Quartet),Lois Lowry,2014,4.6,"39,207",Mass Market Paperback,24.33
592,97,Chicka Chicka Boom Boom (Board Book),,2014,4.9,Bill Martin Jr.,Board book,4.59
593,98,Against All Grain: Delectable Paleo Recipes To Eat Well And Feel Great,Danielle Walker,2014,4.7,"3,570",Paperback,17.48
594,99,Minecraft: Essential Handbook,,2014,4.7,Stephanie Milton,Hardcover,14.17
595,100,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,2014,4.5,"8,445",Hardcover,18.29
596,1,First 100 Words: A Padded Board Book,Roger Priddy,2015,4.7,"37,033",Board book,4.78
597,2,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,,2015,4.5,Marie Kondō,Hardcover,8.89
598,3,Laugh-Out-Loud Jokes for Kids,Rob Elliott,2015,4.6,"11,767",Paperback,4.99
599,4,Secret Garden: An Inky Treasure Hunt and Coloring Book for Adults,Johanna Basford,2015,4.7,"15,464",Paperback,12.15
600,5,StrengthsFinder 2.0,,2015,4.1,Gallup,Hardcover,20.96
601,6,Go Set a Watchman: A Novel,Harper Lee,2015,3.8,"52,440",Hardcover,14.99
602,7,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints)",Johanna Basford,2015,4.7,"8,299",Paperback,11.97
603,8,All the Light We Cannot See,Anthony Doerr,2015,4.5,"215,225",Hardcover,15.15
604,9,The Girl on the Train,Paula Hawkins,2015,4.1,"492,067",Hardcover,11.11
605,10,Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,2015,4.5,"4,338",Paperback,6.91
606,11,Diary of a Wimpy Kid #10: Old School,Jeff Kinney,2015,4.7,"31,174",Hardcover,12.95
607,12,To Kill a Mockingbird,Harper Lee,2015,4.7,"130,590",Mass Market Paperback,21.34
608,13,Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,2015,4.6,"3,984",Paperback,7.99
609,14,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns",Coloring Books for Adults,2015,4.5,"3,190",Paperback,8.49
610,15,Humans of New York : Stories,Brandon Stanton,2015,4.9,"5,377",Hardcover,15.69
611,16,The Martian,Andy Weir,2015,4.6,"170,715",Paperback,10.41
612,17,"Oh, the Places You'll Go!  ",Dr. Seuss,2015,4.9,"48,035",Hardcover,7.49
613,18,Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),Rob Elliott,2015,4.5,"5,945",Paperback,4.99
614,19,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,2015,4.9,"28,326",Board book,5.00
615,20,The Day the Crayons Quit,Drew Daywalt,2015,4.8,"22,782",Hardcover,9.40
616,21,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,2015,4.6,"82,119",Paperback,16.99
617,22,"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",Sarah Young,2015,4.9,"43,004",Hardcover,8.89
618,23,Mindset: The New Psychology of Success,,2015,4.6,Carol S. S. Dweck,Paperback,11.66
619,24,"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades Of Grey Series, 4)",E L James,2015,4.5,"117,813",Paperback,12.76
620,25,Creative Haven Creative Cats Coloring Book (Adult Coloring Books: Pets),Marjorie Sarnat,2015,4.8,"5,208",Paperback,5.99
621,26,How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,2015,4.7,"111,894",Paperback,10.30
622,27,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,2015,4.8,"89,698",Paperback,8.39
623,28,Balance (Angie’s Extreme Stress Menders),Angie Grace,2015,4.6,"2,289",Paperback,11.95
624,29,Creative Haven Owls Coloring Book (Adult Coloring Books: Animals),Marjorie Sarnat,2015,4.7,"5,322",Paperback,5.38
625,30,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),,2015,4.6,Thug Kitchen,Hardcover,22.99
626,31,Giraffes Can't Dance (Board Book),,2015,4.8,Giles Andreae,Board book,5.94
627,32,Wonder,R. J. Palacio,2015,4.7,"83,319",Hardcover,9.40
628,33,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2015,4.7,"9,405",Paperback,19.65
629,34,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,2015,4.7,"107,961",Paperback,7.74
630,35,Being Mortal: Medicine and What Matters in the End,Atul Gawande,2015,4.7,"44,847",Hardcover,16.06
631,36,Love You Forever,Robert Munsch,2015,4.9,"59,707",Paperback,4.98
632,37,The Very Hungry Caterpillar,Eric Carle,2015,4.9,"59,834",Board book,5.57
633,38,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2015,4.5,"12,971",Paperback,15.38
634,39,Between the World and Me,Ta-Nehisi Coates,2015,4.6,"39,082",Hardcover,13.59
635,40,Baby Touch and Feel: Animals,,2015,4.7,DK,Board book,5.67
636,41,The Book with No Pictures,B. J. Novak,2015,4.8,"19,065",Hardcover,9.90
637,42,The Wright Brothers,David McCullough,2015,4.5,"20,258",Hardcover,17.10
638,43,Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Adult Coloring Books: Animals),Marty Noble,2015,4.6,"2,650",Paperback,5.39
639,44,The Nightingale: A Novel,Kristin Hannah,2015,4.7,"284,317",Hardcover,15.73
640,45,"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve Supper",Ree Drummond,2015,4.8,"8,490",Hardcover,15.69
641,46,What Pet Should I Get? (Classic Seuss),Dr. Seuss,2015,4.8,"6,554",Hardcover,9.40
642,47,Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,2015,4.5,"12,774",Hardcover,18.94
643,48,Harry Potter Coloring Book,Scholastic,2015,4.8,"15,766",Paperback,11.60
644,49,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,2015,4.5,"42,393",Mass Market Paperback,9.99
645,50,The Whole30: The 30-Day Guide to Total Health and Food Freedom,,2015,4.6,Melissa Hartwig Urban,Hardcover,16.26
646,51,Diary of a Minecraft Zombie Book 1: A Scare of A Dare (Minecraft Adventure),Zack Zombie,2015,4.7,"18,650",Paperback,
647,52,The Great Gatsby: The Only Authorized Edition,F. Scott Fitzgerald,2015,4.4,"15,470",Paperback,6.84
648,53,Lost Ocean: An Inky Adventure and Coloring Book for Adults,Johanna Basford,2015,4.7,"8,252",Paperback,14.95
649,54,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",,2015,4.6,Patrick Lencioni,Hardcover,20.14
650,55,The Official SAT Study Guide,,2015,4.4,The College Board,Paperback,
651,56,10-Day Green Smoothie Cleanse,JJ Smith,2015,4.7,"37,683",Paperback,9.89
652,57,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,2015,4.7,"40,372",Paperback,12.85
653,58,Chicka Chicka Boom Boom (Board Book),,2015,4.9,Bill Martin Jr.,Board book,4.59
654,59,The Day the Crayons Came Home,Drew Daywalt,2015,4.8,"5,814",Hardcover,12.72
655,60,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,2015,4.6,"22,530",Hardcover,15.86
656,61,Paper Towns,John Green,2015,4.2,"35,557",Paperback,7.68
657,62,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2015,4.7,"75,431",Paperback,12.49
658,63,Get What's Yours: The Secrets to Maxing Out Your Social Security (The Get What's Yours Series),Laurence J. Kotlikoff,2015,4.2,"3,546",Hardcover,8.88
659,64,"Magnus Chase and the Gods of Asgard, Book 1: The Sword of Summer",Rick Riordan,2015,4.7,"22,904",Hardcover,11.46
660,65,Dragons Love Tacos,Adam Rubin,2015,4.8,"18,114",Hardcover,9.92
661,66,Fahrenheit 451,Ray Bradbury,2015,4.6,"48,410",Paperback,8.36
662,67,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",,2015,4.8,Valorie Schaefer,Paperback,7.93
663,68,Potty (Leslie Patricelli board books),Leslie Patricelli,2015,4.7,"13,739",Board book,8.99
664,69,Thing Explainer: Complicated Stuff in Simple Words,Randall Munroe,2015,4.5,"4,406",Hardcover,17.69
665,70,Dead Wake: The Last Crossing of the Lusitania,Erik Larson,2015,4.4,"31,180",Hardcover,19.75
666,71,The Going To Bed Book,Sandra Boynton,2015,4.8,"17,469",Board book,3.97
667,72,"Inspiralized: Turn Vegetables into Healthy, Creative, Satisfying Meals: A Cookbook",Ali Maffucci,2015,4.4,"3,851",Paperback,10.68
668,73,Mystical Mandala Coloring Book (Dover Mandala Coloring Books),Alberta Hutchinson,2015,4.5,"2,993",Paperback,3.99
669,74,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,2015,4.7,"13,022",Paperback,
670,75,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,,2015,4.6,DK,Paperback,5.90
671,76,The 20/20 Diet: Turn Your Weight Loss Vision Into Reality,,2015,4.0,Phil McGraw,Hardcover,12.00
672,77,Night (Night),Elie Wiesel,2015,4.7,"20,176",Paperback,6.27
673,78,What to Expect When You're Expecting,Heidi Murkoff,2015,4.8,"32,912",Paperback,17.43
674,79,The Jesus Storybook Bible: Every Story Whispers His Name,Sally Lloyd-Jones,2015,4.9,"12,651",Hardcover,11.69
675,80,The Road to Character,David Brooks,2015,4.3,"6,037",Hardcover,21.98
676,81,Where Is Baby's Belly Button? A Lift-the-Flap Book,Karen Katz,2015,4.8,"13,573",Board book,5.00
677,82,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,2015,4.6,"140,761",Paperback,11.15
678,83,Guess How Much I Love You,Sam McBratney,2015,4.8,"5,519",Board book,13.28
679,84,"Creative Coloring Inspirations: Art Activity Pages to Relax and Enjoy! (Design Originals) 30 Motivating & Creative Art Activities on High-Quality, Extra-Thick Perforated Pages that Won't Bleed Through",Valentina Harper,2015,4.7,"1,827",Paperback,9.99
680,85,Little Blue Truck,Alice Schertle,2015,4.9,"1,961",Board book,
681,86,The Outsiders,S. E. Hinton,2015,4.8,"36,161",Paperback,5.74
682,87,"Thinking, Fast and Slow",Daniel Kahneman,2015,4.6,"40,490",Paperback,11.29
683,88,"The Everything Kids' Science Experiments Book: Boil Ice, Float Water, Measure Gravity-Challenge the World Around You!",Tom Robinson,2015,4.6,"6,473",Paperback,7.59
684,89,1984,George Orwell,2015,4.6,"110,330",Mass Market Paperback,7.48
685,90,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition",Kerry Patterson,2015,4.6,"11,999",Paperback,16.99
686,91,Emotional Intelligence 2.0,Travis Bradberry,2015,4.5,"12,653",Hardcover,14.98
687,92,For the Love: Fighting for Grace in a World of Impossible Standards,Jen Hatmaker,2015,4.6,"3,681",Hardcover,9.50
688,93,Press Here (Herve Tullet),Herve Tullet,2015,4.8,"14,246",Hardcover,11.77
689,94,Little Blue Truck board book,Alice Schertle,2015,4.9,"8,207",Board book,
690,95,"Brown Bear, Brown Bear, What Do You See?",,2015,4.9,Bill Martin Jr.,Board book,4.94
691,96,A Long Walk to Water: Based on a True Story,Linda Sue Park,2015,4.7,"23,696",Paperback,7.00
692,97,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,2015,4.7,"51,205",Mass Market Paperback,34.39
693,98,Rogue Lawyer: A Novel,John Grisham,2015,4.0,"63,244",Hardcover,15.18
694,99,Detailed Designs and Beautiful Patterns (Sacred Mandala Designs and Patterns Coloring Books for Adults),Lilt Kids Coloring Books,2015,4.5,"1,069",Paperback,5.87
695,100,Lord of the Flies,William Golding,2015,4.5,"45,624",Mass Market Paperback,5.79
696,1,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,2016,4.3,"101,765",Hardcover,13.51
697,2,StrengthsFinder 2.0,,2016,4.1,Gallup,Hardcover,20.96
698,3,First 100 Words: A Padded Board Book,Roger Priddy,2016,4.7,"37,033",Board book,4.78
699,4,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,,2016,4.5,Marie Kondō,Hardcover,8.89
700,5,"Oh, the Places You'll Go!  ",Dr. Seuss,2016,4.9,"48,035",Hardcover,7.49
701,6,Diary of a Wimpy Kid #11: Double Down,Jeff Kinney,2016,4.7,"28,310",Hardcover,8.96
702,7,When Breath Becomes Air,Paul Kalanithi,2016,4.7,"99,710",Hardcover,17.34
703,8,Giraffes Can't Dance (Board Book),,2016,4.8,Giles Andreae,Board book,5.94
704,9,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,2016,4.8,"89,698",Paperback,8.39
705,10,The Whole30: The 30-Day Guide to Total Health and Food Freedom,,2016,4.6,Melissa Hartwig Urban,Hardcover,16.26
706,11,A Man Called Ove: A Novel,Fredrik Backman,2016,4.6,"186,142",Paperback,10.93
707,12,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,2016,4.6,"21,298",Hardcover,19.36
708,13,How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,2016,4.7,"111,894",Paperback,10.30
709,14,The Magnolia Story,Chip Gaines,2016,4.7,"21,906",Hardcover,12.00
710,15,Laugh-Out-Loud Jokes for Kids,Rob Elliott,2016,4.6,"11,767",Paperback,4.99
711,16,To Kill a Mockingbird,Harper Lee,2016,4.7,"130,590",Mass Market Paperback,21.34
712,17,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,2016,4.3,"95,584",Hardcover,13.00
713,18,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,2016,4.6,"15,136",Hardcover,13.39
714,19,Hamilton: The Revolution,Lin-Manuel Miranda,2016,4.9,"14,250",Hardcover,26.13
715,20,The Girl on the Train,Paula Hawkins,2016,4.1,"492,067",Paperback,10.33
716,21,Mindset: The New Psychology of Success,,2016,4.6,Carol S. S. Dweck,Paperback,11.66
717,22,"The Official SAT Study Guide, 2016 Edition",The College Board,2016,4.4,"1,119",Paperback,
718,23,,,2016,4.5,"3,156",Paperback,8.99
