,Rank,Title,Author,Year,Ratings,Reviews,Cover_type,Price($)
156,60,The Checklist Manifesto: How to Get Things Right,Atul Gawande,2010,4.5,"13,086",Hardcover,29.53
157,61,Chelsea Chelsea Bang Bang,Chelsea Handler,2010,4.4,"1,526",Hardcover,9.95
158,62,Let the Great World Spin: A Novel,Colum McCann,2010,4.3,"3,645",Paperback,9.99
159,63,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,Ree Drummond,2010,4.8,"5,748",Hardcover,14.39
160,64,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,2010,4.4,"8,357",Paperback,14.99
161,65,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,2010,4.6,"5,203",Paperback,10.59
162,66,The Belly Fat Cure: Discover the New Carb Swap System™ and Lose 4 to 9 lbs. Every Week,Jorge Cruise,2010,4.1,"1,120",Spiral-bound,19.00
163,67,"The Battle of the Labyrinth (Percy Jackson and the Olympians, Book 4)",Rick Riordan,2010,4.8,"28,721",Paperback,7.99
164,68,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",Timothy Ferriss,2010,4.5,"25,790",Hardcover,13.79
165,69,"Full Dark, No Stars",Stephen King,2010,4.6,"6,256",Hardcover,21.50
166,70,Sizzling Sixteen (Stephanie Plum Novels),Janet Evanovich,2010,4.5,"7,454",Hardcover,
167,71,The Grand Design,Stephen Hawking,2010,4.5,"4,121",Hardcover,16.20
168,72,The Overton Window ,Glenn Beck,2010,4.6,"1,431",Hardcover,14.50
169,73,"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",Sarah Young,2010,4.9,"43,004",Hardcover,8.89
170,74,Spoken from the Heart,Laura Bush,2010,4.5,836,Hardcover,12.14
171,75,Diary of a Wimpy Kid Do-it-yourself Book,Jeff Kinney,2010,4.8,"10,195",Hardcover,14.72
172,76,The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,Mark Nepo,2010,4.7,"4,473",Paperback,
173,77,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",Julia Child,2010,4.8,"8,220",Hardcover,25.99
174,78,Safe Haven,Nicholas Sparks,2010,4.6,"15,271",Hardcover,13.69
175,79,"Change Your Brain, Change Your Body: Use Your Brain to Get and Keep the Body You Have Always Wanted",Daniel G. Amen,2010,4.4,947,Hardcover,14.57
176,80,"The Kind Diet: A Simple Guide to Feeling Great, Losing Weight, and Saving the Planet",Alicia Silverstone,2010,4.5,"1,690",Hardcover,
177,81,Decoded,Jay-Z,2010,4.7,"1,794",Hardcover,33.57
178,82,The Glass Castle: A Memoir (book),Jeannette Walls,2010,4.6,"39,288",Paperback,9.68
179,83,The Shack: Where Tragedy Confronts Eternity,William P. Young,2010,4.6,"41,129",Paperback,10.14
180,84,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,2010,4.7,"25,424",Hardcover,19.55
